loan_id,customer_id,loan_amount,interest_rate,loan_term_months,loan_type,loan_purpose,application_date,approval_status,loan_status
68,33,826204,13.51,48,Car Loan,Education,2024-10-06,Pending,Not Issued
69,33,2318397,15.53,60,Business Loan,Travel,2025-06-18,Pending,Not Issued
70,34,4174848,8.51,48,Car Loan,Medical,2026-06-14,Approved,Active
71,34,2536733,7.85,120,Car Loan,Vehicle,2025-02-10,Approved,Active
72,34,973780,8.57,12,Home Loan,Education,2022-09-22,Approved,Closed
73,35,630781,15.07,36,Business Loan,Business Expansion,2026-07-15,Pending,Not Issued
74,35,635152,16.97,60,Car Loan,Medical,2022-12-09,Pending,Not Issued
75,35,182532,14.58,24,Car Loan,Education,2025-05-15,Rejected,Not Issued
76,36,137328,16.07,60,Home Loan,Wedding,2026-01-13,Rejected,Not Issued
77,36,867107,13.87,84,Personal Loan,Travel,2026-06-26,Rejected,Not Issued
78,36,2980650,12.89,12,Home Loan,Wedding,2022-07-28,Rejected,Not Issued
79,37,728235,16.02,60,Business Loan,Medical,2025-03-28,Pending,Not Issued
80,37,2329017,13.04,36,Home Loan,Home Purchase,2022-11-09,Pending,Not Issued
81,38,53979,15.52,48,Business Loan,Travel,2026-04-01,Pending,Not Issued
82,38,360203,16.53,12,Education Loan,Medical,2023-10-11,Rejected,Not Issued
83,39,684878,17.64,48,Business Loan,Business Expansion,2025-04-18,Approved,Active
84,40,1695528,7.84,48,Business Loan,Business Expansion,2024-05-02,Approved,Active
85,41,721960,17.28,120,Home Loan,Business Expansion,2025-11-07,Pending,Not Issued
86,42,2664141,14.4,12,Education Loan,Business Expansion,2025-03-09,Pending,Not Issued
87,42,2582443,15.56,36,Education Loan,Wedding,2023-05-10,Approved,Closed
88,43,975033,16.68,36,Business Loan,Home Purchase,2026-04-21,Pending,Not Issued
89,44,646471,7.73,24,Education Loan,Medical,2023-07-29,Approved,Active
90,44,653571,8.37,84,Business Loan,Wedding,2023-09-07,Approved,Active
91,44,1973015,7.3,120,Business Loan,Medical,2026-05-06,Approved,Closed
92,45,216637,13.81,60,Personal Loan,Home Purchase,2026-07-13,Pending,Not Issued
93,45,504795,12.07,12,Education Loan,Education,2022-09-08,Pending,Not Issued
94,46,2006020,17.64,60,Car Loan,Medical,2026-02-25,Pending,Not Issued
95,47,525482,10.92,48,Car Loan,Medical,2025-05-24,Approved,Default
96,47,481885,10.01,120,Car Loan,Home Purchase,2023-02-24,Approved,Active
97,48,1176681,15.02,24,Education Loan,Wedding,2023-09-08,Rejected,Not Issued
98,48,2244210,16.76,60,Business Loan,Business Expansion,2024-03-24,Rejected,Not Issued
99,48,973975,17.07,48,Car Loan,Wedding,2023-12-10,Pending,Not Issued
100,49,1456631,13.62,84,Home Loan,Wedding,2024-10-03,Rejected,Not Issued
101,50,2748152,10.49,84,Business Loan,Home Purchase,2024-09-25,Approved,Closed
102,50,1886418,9.62,48,Car Loan,Business Expansion,2022-09-02,Approved,Active
103,51,1925608,7.51,120,Business Loan,Education,2023-10-11,Approved,Closed
104,52,2349763,15.2,60,Education Loan,Medical,2023-06-15,Pending,Not Issued
105,53,1110243,10.15,48,Car Loan,Vehicle,2024-01-17,Approved,Closed
106,53,811868,9.93,120,Education Loan,Vehicle,2025-05-19,Approved,Active
107,53,1433205,10.41,60,Education Loan,Home Purchase,2025-05-18,Approved,Active
108,54,634182,14.51,48,Education Loan,Travel,2022-09-30,Pending,Not Issued
109,54,367011,12.62,84,Education Loan,Wedding,2022-11-27,Rejected,Not Issued
110,55,1287717,15.7,120,Business Loan,Home Purchase,2023-04-18,Pending,Not Issued
111,55,3951496,15.77,24,Education Loan,Education,2026-04-10,Pending,Not Issued
112,56,2755146,11.0,48,Business Loan,Business Expansion,2023-03-23,Approved,Active
113,56,4240181,9.94,12,Business Loan,Home Purchase,2024-06-17,Approved,Active
114,57,1746827,16.31,48,Home Loan,Business Expansion,2024-08-13,Pending,Not Issued
115,58,612396,9.94,36,Education Loan,Medical,2022-08-03,Approved,Active
116,59,3154365,15.47,84,Education Loan,Vehicle,2025-09-16,Rejected,Not Issued
117,59,2463330,13.55,84,Car Loan,Home Purchase,2024-06-14,Pending,Not Issued
118,59,2970578,15.7,12,Car Loan,Medical,2026-06-14,Pending,Not Issued
119,60,1345760,12.51,60,Car Loan,Medical,2025-07-13,Rejected,Not Issued
120,60,1645650,13.51,12,Car Loan,Wedding,2024-11-10,Rejected,Not Issued
121,61,1184299,8.96,24,Home Loan,Education,2026-01-16,Approved,Default
122,61,3453193,8.17,48,Home Loan,Travel,2024-04-30,Approved,Closed
123,62,1957969,13.08,60,Education Loan,Home Purchase,2026-01-02,Pending,Not Issued
124,62,2896967,13.33,84,Education Loan,Medical,2022-11-30,Pending,Not Issued
125,63,130128,14.81,120,Car Loan,Business Expansion,2026-01-17,Rejected,Not Issued
126,63,720297,16.25,36,Car Loan,Travel,2024-08-22,Rejected,Not Issued
127,63,224176,14.68,60,Personal Loan,Business Expansion,2024-03-18,Rejected,Not Issued
128,64,2684614,8.57,120,Education Loan,Medical,2023-06-06,Approved,Active
129,64,3539713,8.85,120,Business Loan,Business Expansion,2025-10-09,Approved,Active
130,65,68989,10.88,120,Business Loan,Vehicle,2026-02-17,Approved,Closed
131,66,2946738,8.47,84,Home Loan,Education,2026-04-06,Approved,Default
132,67,451994,8.54,48,Education Loan,Education,2024-11-23,Approved,Closed
133,67,1400514,7.89,84,Home Loan,Travel,2022-12-01,Approved,Closed
134,68,1528584,8.85,120,Education Loan,Education,2024-09-03,Approved,Active
135,68,4817112,7.81,60,Education Loan,Education,2022-11-16,Approved,Active
136,68,2564888,7.09,48,Car Loan,Business Expansion,2023-06-28,Approved,Default
137,69,665935,17.77,48,Business Loan,Education,2026-06-08,Rejected,Not Issued
138,69,2389488,13.3,120,Business Loan,Medical,2025-12-07,Rejected,Not Issued
139,69,3923069,14.91,12,Education Loan,Wedding,2023-12-12,Pending,Not Issued
140,70,2897611,11.63,120,Home Loan,Travel,2023-10-20,Pending,Not Issued
141,70,2298453,10.81,84,Car Loan,Education,2024-10-29,Pending,Not Issued
142,71,4734675,7.94,36,Home Loan,Vehicle,2026-07-08,Approved,Active
143,71,728398,7.55,84,Education Loan,Home Purchase,2025-11-16,Approved,Closed
144,71,2831026,8.09,120,Business Loan,Travel,2025-05-02,Approved,Active
145,72,946785,11.65,48,Personal Loan,Home Purchase,2023-03-29,Pending,Not Issued
146,73,3370976,15.33,48,Car Loan,Education,2026-02-17,Pending,Not Issued
147,73,200578,14.9,84,Home Loan,Education,2022-12-19,Pending,Not Issued
148,73,1496605,14.26,60,Business Loan,Travel,2023-06-17,Rejected,Not Issued
149,74,340572,17.06,60,Personal Loan,Travel,2026-04-22,Pending,Not Issued
150,75,346920,10.65,24,Business Loan,Medical,2026-06-07,Approved,Active
151,76,949961,7.41,60,Education Loan,Vehicle,2022-11-02,Approved,Active
152,77,2700752,15.7,24,Home Loan,Vehicle,2022-09-02,Pending,Not Issued
153,77,3316106,15.26,36,Business Loan,Business Expansion,2023-05-14,Pending,Not Issued
154,77,1480976,13.64,12,Business Loan,Vehicle,2024-10-12,Pending,Not Issued
155,78,1150890,12.57,60,Home Loan,Wedding,2025-02-16,Rejected,Not Issued
156,78,269364,17.2,84,Personal Loan,Business Expansion,2025-05-18,Pending,Not Issued
157,78,1097914,16.66,48,Car Loan,Vehicle,2025-05-29,Pending,Not Issued
158,79,596319,16.44,24,Home Loan,Home Purchase,2025-05-18,Pending,Not Issued
159,79,447715,13.48,60,Home Loan,Business Expansion,2024-03-11,Rejected,Not Issued
160,79,239756,14.68,48,Business Loan,Vehicle,2023-05-19,Pending,Not Issued
161,80,4124532,7.47,60,Car Loan,Education,2025-01-27,Approved,Active
162,80,4292279,7.63,12,Education Loan,Wedding,2022-08-24,Approved,Active
163,81,637003,13.27,60,Personal Loan,Travel,2023-11-21,Rejected,Not Issued
164,81,1137322,17.22,120,Home Loan,Vehicle,2023-04-11,Rejected,Not Issued
165,81,643335,16.46,12,Car Loan,Wedding,2023-06-03,Pending,Not Issued
166,82,199456,9.39,36,Business Loan,Wedding,2024-05-13,Approved,Closed
167,82,1391891,9.55,84,Education Loan,Travel,2026-02-14,Pending,Not Issued
168,83,267903,15.98,36,Personal Loan,Wedding,2023-12-04,Pending,Not Issued
169,84,1300376,10.93,84,Car Loan,Travel,2023-07-07,Approved,Active
170,84,2827761,11.1,60,Personal Loan,Wedding,2022-07-18,Approved,Active
171,84,1832985,9.28,84,Home Loan,Medical,2025-04-28,Approved,Active
172,85,342931,9.47,60,Home Loan,Medical,2024-12-24,Approved,Active
173,85,1297955,11.23,36,Business Loan,Vehicle,2022-10-31,Approved,Active
174,86,4418203,12.32,36,Education Loan,Education,2022-09-03,Pending,Not Issued
175,86,1631503,15.12,12,Education Loan,Travel,2022-11-14,Pending,Not Issued
176,86,4685987,13.84,36,Education Loan,Education,2022-08-01,Rejected,Not Issued
177,87,1101107,17.0,36,Personal Loan,Travel,2023-01-24,Pending,Not Issued
178,87,998994,14.59,48,Car Loan,Vehicle,2023-06-20,Rejected,Not Issued
179,87,3206623,13.93,84,Personal Loan,Wedding,2023-10-01,Pending,Not Issued
180,88,711233,12.58,84,Education Loan,Education,2024-11-29,Pending,Not Issued
181,88,595761,17.57,60,Home Loan,Education,2025-06-06,Pending,Not Issued
182,88,3183271,16.73,48,Personal Loan,Business Expansion,2022-12-28,Pending,Not Issued
183,89,3547379,12.45,48,Home Loan,Education,2022-08-26,Pending,Not Issued
184,89,2546710,13.46,84,Education Loan,Vehicle,2022-08-19,Pending,Not Issued
185,90,314350,15.78,12,Personal Loan,Travel,2024-09-10,Pending,Not Issued
186,90,536764,16.8,120,Education Loan,Vehicle,2026-01-26,Pending,Not Issued
187,91,2939079,8.14,12,Education Loan,Medical,2025-01-01,Approved,Active
188,92,4663840,11.98,84,Education Loan,Vehicle,2023-09-19,Approved,Active
189,93,292830,8.53,36,Education Loan,Education,2025-05-27,Approved,Active
190,94,3859199,12.75,12,Home Loan,Travel,2022-09-28,Approved,Closed
191,94,2490271,15.79,24,Education Loan,Medical,2026-04-22,Approved,Default
192,95,2709356,8.29,24,Education Loan,Medical,2024-02-18,Approved,Active
193,95,350314,8.75,12,Education Loan,Home Purchase,2022-10-01,Approved,Active
194,95,4898116,7.91,120,Home Loan,Education,2023-12-17,Approved,Closed
195,96,4298216,7.02,48,Education Loan,Vehicle,2025-04-20,Approved,Closed
196,96,4251743,7.14,60,Home Loan,Medical,2023-09-06,Approved,Closed
197,97,1722781,13.22,84,Education Loan,Business Expansion,2025-08-05,Pending,Not Issued
198,98,940040,17.28,24,Home Loan,Vehicle,2024-06-21,Rejected,Not Issued
199,99,4968742,7.19,24,Car Loan,Home Purchase,2024-12-24,Approved,Closed
200,99,3703492,7.73,24,Education Loan,Education,2022-09-04,Approved,Active
201,99,4681848,7.22,84,Business Loan,Wedding,2022-10-02,Approved,Default
202,100,1009785,16.34,120,Education Loan,Vehicle,2022-12-18,Rejected,Not Issued
203,100,2039752,15.06,24,Education Loan,Wedding,2023-08-13,Pending,Not Issued
204,100,536138,16.7,60,Car Loan,Vehicle,2026-01-19,Rejected,Not Issued
205,101,1836077,14.77,48,Personal Loan,Travel,2022-11-29,Pending,Not Issued
206,101,1217931,12.44,12,Car Loan,Vehicle,2024-05-08,Approved,Active
207,101,2466097,15.47,24,Business Loan,Travel,2023-04-02,Approved,Active
208,102,1267578,9.44,12,Home Loan,Business Expansion,2025-06-15,Pending,Not Issued
209,103,2191729,12.03,120,Personal Loan,Education,2025-08-05,Pending,Not Issued
210,103,2087496,12.91,120,Personal Loan,Business Expansion,2025-10-27,Pending,Not Issued
211,103,2105340,17.45,60,Education Loan,Vehicle,2023-09-11,Pending,Not Issued
212,104,333172,15.74,36,Home Loan,Vehicle,2024-02-20,Pending,Not Issued
213,104,1968238,17.96,24,Business Loan,Wedding,2024-08-15,Rejected,Not Issued
214,105,1315404,10.86,60,Personal Loan,Home Purchase,2025-04-23,Approved,Active
215,105,2333867,9.71,48,Car Loan,Wedding,2025-04-23,Approved,Active
216,106,166659,15.3,84,Home Loan,Education,2026-01-30,Pending,Not Issued
217,107,481518,13.76,120,Education Loan,Medical,2025-02-22,Pending,Not Issued
218,108,397582,17.74,60,Business Loan,Business Expansion,2025-12-21,Rejected,Not Issued
219,109,269956,13.45,84,Home Loan,Home Purchase,2024-12-06,Rejected,Not Issued
220,109,1042650,14.26,36,Home Loan,Vehicle,2024-07-09,Pending,Not Issued
221,110,3146807,14.69,48,Education Loan,Wedding,2023-06-05,Rejected,Not Issued
222,110,2594372,12.11,12,Business Loan,Education,2023-04-12,Pending,Not Issued
223,111,2176202,16.72,36,Business Loan,Education,2024-05-14,Pending,Not Issued
224,111,1898469,14.21,36,Education Loan,Business Expansion,2023-01-09,Rejected,Not Issued
225,112,3944706,8.34,120,Personal Loan,Medical,2024-08-22,Approved,Default
226,113,1119232,15.92,48,Car Loan,Business Expansion,2025-12-19,Pending,Not Issued
227,114,1800953,15.7,48,Home Loan,Education,2026-04-04,Pending,Not Issued
228,114,301446,17.87,84,Personal Loan,Business Expansion,2022-11-23,Approved,Active
229,115,82189,17.95,48,Personal Loan,Vehicle,2025-09-17,Pending,Not Issued
230,115,105431,15.17,12,Education Loan,Medical,2023-08-21,Rejected,Not Issued
231,116,3736117,7.79,24,Car Loan,Education,2023-05-01,Approved,Active
232,116,4672631,8.94,48,Business Loan,Home Purchase,2026-02-28,Approved,Active
233,116,4612200,7.52,36,Car Loan,Education,2023-03-18,Approved,Closed
234,117,3946028,7.27,36,Education Loan,Home Purchase,2022-08-09,Approved,Closed
235,117,4702615,7.9,84,Business Loan,Travel,2023-02-26,Approved,Closed
236,117,332901,7.18,60,Home Loan,Business Expansion,2026-05-23,Approved,Active
237,118,2610046,11.97,120,Home Loan,Home Purchase,2024-09-06,Approved,Closed
238,118,3117540,11.63,60,Education Loan,Business Expansion,2024-02-12,Approved,Active
239,119,1399295,12.05,48,Personal Loan,Medical,2025-09-15,Rejected,Not Issued
240,119,1736205,14.07,60,Education Loan,Home Purchase,2023-11-05,Rejected,Not Issued
241,119,392116,14.08,12,Home Loan,Home Purchase,2024-10-26,Pending,Not Issued
242,120,4684673,7.21,120,Business Loan,Travel,2022-09-27,Approved,Active
243,120,479895,7.83,84,Personal Loan,Home Purchase,2023-10-30,Approved,Active
244,121,4106429,10.44,120,Home Loan,Travel,2023-05-11,Approved,Active
245,121,3709968,9.05,60,Car Loan,Travel,2026-02-17,Approved,Closed
246,121,1843680,10.62,12,Education Loan,Education,2023-11-02,Approved,Closed
247,122,540673,14.96,24,Home Loan,Vehicle,2026-05-20,Rejected,Not Issued
248,122,78145,15.62,60,Education Loan,Travel,2024-06-19,Pending,Not Issued
249,122,404181,16.97,12,Business Loan,Medical,2023-06-25,Pending,Not Issued
250,123,105656,8.38,120,Business Loan,Medical,2024-03-24,Approved,Active
251,124,3564756,8.09,12,Car Loan,Wedding,2025-07-06,Approved,Active
252,125,2790001,13.19,48,Personal Loan,Medical,2025-03-15,Approved,Active
253,126,724579,14.91,12,Home Loan,Medical,2025-10-13,Approved,Closed
254,126,2997341,17.63,84,Car Loan,Medical,2025-01-25,Approved,Closed
255,127,4487563,15.47,12,Car Loan,Education,2024-01-30,Pending,Not Issued
256,127,1262387,13.35,36,Car Loan,Travel,2023-01-04,Pending,Not Issued
257,128,1701156,13.55,24,Home Loan,Education,2023-01-06,Rejected,Not Issued
258,129,1470059,13.81,120,Personal Loan,Education,2024-01-05,Pending,Not Issued
259,130,1751423,7.49,12,Home Loan,Vehicle,2023-03-09,Approved,Closed
260,130,2053907,7.27,48,Education Loan,Travel,2025-07-22,Approved,Active
261,130,2191268,8.64,84,Education Loan,Travel,2026-03-27,Approved,Active
262,131,2795034,17.21,12,Business Loan,Travel,2022-10-25,Rejected,Not Issued
263,131,557568,17.03,120,Education Loan,Travel,2023-01-30,Rejected,Not Issued
264,132,2392159,14.93,120,Education Loan,Vehicle,2022-10-13,Pending,Not Issued
265,132,1474149,13.24,24,Car Loan,Travel,2023-10-17,Rejected,Not Issued
266,132,1066731,14.1,120,Education Loan,Business Expansion,2023-04-15,Pending,Not Issued
267,133,3871722,12.24,12,Personal Loan,Business Expansion,2024-04-22,Rejected,Not Issued
268,134,879592,11.22,48,Personal Loan,Education,2023-01-06,Pending,Not Issued
269,135,2066644,16.23,36,Personal Loan,Vehicle,2022-09-13,Rejected,Not Issued
270,136,554628,7.44,84,Car Loan,Medical,2023-11-19,Approved,Closed
271,136,995020,7.79,120,Education Loan,Business Expansion,2025-02-23,Approved,Closed
272,137,3018571,16.08,48,Home Loan,Vehicle,2022-11-05,Rejected,Not Issued
273,137,2996011,17.33,24,Personal Loan,Education,2023-07-18,Pending,Not Issued
274,138,1104107,16.84,120,Personal Loan,Education,2025-10-27,Pending,Not Issued
275,138,2032054,13.12,24,Education Loan,Business Expansion,2023-10-03,Approved,Default
276,138,3827306,12.81,60,Education Loan,Medical,2025-05-17,Approved,Active
277,139,79546,12.1,84,Education Loan,Home Purchase,2023-04-10,Rejected,Not Issued
278,139,196262,12.02,24,Business Loan,Education,2025-03-19,Pending,Not Issued
279,140,1255368,16.67,60,Education Loan,Home Purchase,2023-04-12,Pending,Not Issued
280,141,1219370,10.7,36,Education Loan,Home Purchase,2022-08-19,Pending,Not Issued
281,141,1321639,11.92,60,Personal Loan,Wedding,2025-08-11,Pending,Not Issued
282,142,934528,17.26,12,Home Loan,Education,2025-11-06,Rejected,Not Issued
283,143,1274012,13.79,84,Home Loan,Medical,2024-08-22,Approved,Active
284,143,3138783,13.22,24,Personal Loan,Wedding,2024-08-17,Approved,Closed
285,143,1016048,16.59,12,Personal Loan,Home Purchase,2024-12-03,Approved,Closed
286,144,53064,13.14,120,Home Loan,Business Expansion,2022-09-30,Rejected,Not Issued
287,144,1481349,12.01,36,Business Loan,Vehicle,2024-02-27,Rejected,Not Issued
288,145,1474354,12.14,48,Car Loan,Education,2024-12-22,Rejected,Not Issued
289,146,3566746,16.17,36,Car Loan,Vehicle,2023-06-11,Rejected,Not Issued
290,147,2195143,17.93,12,Education Loan,Travel,2026-03-02,Rejected,Not Issued
291,148,3472651,15.83,12,Car Loan,Education,2025-08-19,Pending,Not Issued
292,149,1315303,7.46,120,Home Loan,Medical,2025-01-16,Approved,Active
293,149,1527050,8.23,24,Education Loan,Vehicle,2024-03-08,Approved,Active
294,150,4971585,11.96,48,Education Loan,Wedding,2025-07-03,Approved,Active
295,151,1614270,9.98,48,Home Loan,Business Expansion,2024-03-17,Pending,Not Issued
296,151,3285867,10.46,120,Car Loan,Business Expansion,2025-05-17,Approved,Active
297,151,4899782,9.28,24,Personal Loan,Education,2022-08-08,Pending,Not Issued
298,152,1698241,10.85,36,Personal Loan,Wedding,2023-05-28,Pending,Not Issued
299,152,1091078,9.21,36,Personal Loan,Medical,2023-05-14,Approved,Active
300,153,4006690,8.4,36,Home Loan,Business Expansion,2023-11-06,Approved,Active
301,153,1745604,8.44,48,Personal Loan,Business Expansion,2024-11-16,Approved,Default
302,153,2194058,8.78,120,Home Loan,Business Expansion,2024-10-11,Approved,Closed
303,154,2301770,16.19,60,Business Loan,Home Purchase,2026-03-02,Pending,Not Issued
304,155,980057,15.01,24,Business Loan,Wedding,2023-04-07,Pending,Not Issued
305,155,673166,12.41,120,Personal Loan,Medical,2022-12-01,Pending,Not Issued
306,155,2741283,12.54,36,Business Loan,Wedding,2024-10-20,Pending,Not Issued
307,156,439887,17.17,36,Car Loan,Business Expansion,2022-12-30,Pending,Not Issued
308,156,1147549,15.24,48,Personal Loan,Education,2024-02-17,Rejected,Not Issued
309,156,557799,15.11,12,Home Loan,Business Expansion,2025-04-07,Pending,Not Issued
310,157,221438,11.18,60,Business Loan,Business Expansion,2023-09-22,Pending,Not Issued
311,157,740629,11.37,84,Car Loan,Business Expansion,2023-01-11,Pending,Not Issued
312,157,86813,9.41,120,Personal Loan,Vehicle,2022-07-17,Approved,Default
313,158,195601,13.36,84,Education Loan,Education,2025-06-14,Pending,Not Issued
314,158,1854708,12.88,36,Car Loan,Vehicle,2023-03-06,Rejected,Not Issued
315,158,949296,14.0,48,Personal Loan,Home Purchase,2024-03-24,Pending,Not Issued
316,159,3830410,9.38,120,Home Loan,Home Purchase,2024-10-31,Pending,Not Issued
317,159,754738,11.93,24,Education Loan,Home Purchase,2023-05-06,Pending,Not Issued
318,159,3869877,11.78,84,Home Loan,Vehicle,2026-06-15,Approved,Closed
319,160,1163230,8.85,36,Education Loan,Medical,2023-07-12,Approved,Active
320,160,1372705,7.45,12,Education Loan,Travel,2026-07-08,Approved,Active
321,160,1269158,8.0,84,Personal Loan,Vehicle,2023-12-18,Approved,Closed
322,161,1339017,12.03,84,Personal Loan,Travel,2025-04-07,Rejected,Not Issued
323,161,1667403,12.18,84,Business Loan,Vehicle,2023-08-27,Rejected,Not Issued
324,162,1572048,17.85,48,Personal Loan,Medical,2025-08-03,Rejected,Not Issued
325,163,2535349,8.02,120,Home Loan,Wedding,2025-12-13,Approved,Active
326,163,3043683,8.35,60,Education Loan,Business Expansion,2023-02-10,Approved,Closed
327,164,4327317,8.87,12,Business Loan,Business Expansion,2024-01-11,Approved,Default
328,164,877999,7.57,36,Business Loan,Travel,2025-01-31,Approved,Closed
329,164,3299739,8.37,120,Car Loan,Home Purchase,2024-07-20,Approved,Active
330,165,1562401,13.66,84,Home Loan,Education,2022-12-23,Pending,Not Issued
331,166,3610909,16.6,12,Home Loan,Wedding,2024-05-01,Rejected,Not Issued
332,167,301309,14.84,24,Business Loan,Home Purchase,2022-11-18,Rejected,Not Issued
333,167,1491909,12.46,48,Education Loan,Vehicle,2025-07-18,Rejected,Not Issued
334,167,494356,16.79,84,Business Loan,Vehicle,2023-12-20,Pending,Not Issued
335,168,3656956,16.32,48,Car Loan,Business Expansion,2023-10-22,Pending,Not Issued
336,168,4719253,14.38,48,Business Loan,Vehicle,2023-10-20,Pending,Not Issued
337,169,3780026,17.55,120,Personal Loan,Wedding,2025-06-08,Pending,Not Issued
